tube;tuba
piranha;piraňa
planet;planeta
plant;rostlina
plate;talíř
player;hráč
pleased;spokojený
pleasure;potěšení
plot;spiknutí
pocket;kapsa
police;policie
policeman;policista
polite;slušný
politician;politik
polluted;znečištěný
pollution;znečištění
pool;louže
positive;kladný
possessive;majetnický
possibly;snad
power;síla
practical;užitečný
predict;předpovídat
prediction;předpověď
prefer;mít raději
prefix;předpona
prepare;chystat
preposition;předložka
presenter;hlasatel
prevent;zamezit
prevention;zabránění
prime minister;předseda
private;soukromý
product;výrobek
professional;odborný
profile;profil
promotion;postup
prompt;rychlý
pronoun;zájmeno
pronounce;vyslovovat
proper;vhodný
protester;demonstrant
proud;pyšný
publish;uveřejnit
pull;táhnout
purpose;účel
put up with;trpět bez nářků
qualified;kvalifikovaný
quantifier;kvantifikátor
quantity;množství
quarter-final;čtvrtfinále
queen;královna
queue;fronta
rainforest;deštný prales
raise;zvednout
razor;žiletka
reader;čtenář
ready;připraven
real;skutečný
reality;skutečnost
real-life;skutečný život
receive;dostat
recently;nedávno
reception;přivítání
recipe;recept
recognise;poznat
recommend;doporučit
record-breaking;pokořit rekord
recording;nahrávka
refuse;odmítnout
regular;pravidelný
relative;příbuzný
relaxed;uvolnit se
release;propuštění
remove;přestěhovat se
repeat;opakování
report;hlášení
reporter;zpravodaj
request;požadavek
rescue;záchrana
research;průzkum
researcher;vědecký pracovník
reservation;reservace
reserved;chladný
resident;usedlík
respond;reagovat
response;odpověď
rest;odpočinek
result;výsledek
retire;odejít do penze
review;recenze
revolve;točit se
rhythm;rytmus
riding;jezdectví
ring;prsten
River Amazon;řeka Amazonka
River Thames;řeka Temže
robber;lupič
robbery;krádež
robot;robot
robotics;robotika
rocket;raketa
role-play;hraní role
roll;role
Roman;Říman
romance;romantika
romantic;romantický
Rome;Řím
roof;střecha
rose;růže
round;okolo
row;řada
royal;královský
rubbish;smetí
rude;drzý
run out of;dojít
Russia;Rusko
sack;pytel
sailing;mořeplavba
salary;pevný plat
sales;prodeje
sandal;sandál
satellite;satelit
satisfied;spokojený
Saudi Arabia;Saudská Arábie
school;škola
scissors;nůžky
Scottish;skotský
screen;plátno
search;prohledat
series;série
serious;vážný
seriously;vážně
servant;služebník
serve;sloužit
service station;autoservis
severe;přísný
shampoo;šampon
shared;sdílený
shaving foam;pěna na holení
sheep;ovce
shipwreck;ztroskotání lodi
shock;náraz
shoot;střelit
shorter;kratší
Sicily;Sicílie
sick pay;nemocenská
side;strana
silly;hloupý
silver;stříbrný
since;od té doby
singer;zpěvák
sister-in-law;švagrová
situation;situace
size;velikost
skateboarding;jízda na skateboardu
skin;pokožka
skincare;péče o pokožku
sleepless;bezesný
sleepy;ospalý
smile;úsměv
snorkelling;šnorchlování
soap;mýdlo
social;sociální
socialising;vést společenský život
society;společnost
solar;sluneční
solution;roztok
solve;řešit
sometime;někdy
somewhere;někde
soon;brzy
spaceman;astronaut
spaceship;kosmická loď
spacious;prostorný
special effects;speciální efekty
spectacular;honosný
speech;řeč
speed;rychlost
spicy;silně kořeněný
spokesman;mluvčí
sports;sportovní
staff;personál
stand;stát
star;hvězda
starter;startující
state;stav
stay;krást
steal;nevlastní otec
stepfather;stále
stone;kámen
stop;přestat
storm;bouřka
storyteller;vypravěč
straight;rovný
strange;neobvyklý
strawberry;jahoda
street;ulice
stress;vypětí
stressful;stresující
stubborn;tvrdohlavý
stunt;kaskadérský kousek
stylist;kadeřník
subject;předmět
subtract;odečíst
success;úspěch
successful;úspěšný
such;takový
sugar;cukr
suite;souprava
summary;shrnutí
sun cream;krém na opalování
sunglasses;sluneční brýle
sunset;západ slunce
sunshine;sluneční záře
suntan;opálený
super;senzační
superlative;vynikající
support;podporovat
suppose;předpokládat
survive;přežít
suspect;podezřelý
swap;vyměnit
Sweden;Švédsko
Swedish;švédský
swimming costume;dámské plavky
swimming trunks;pánské plavky
swimsuit;plavky
Sydney;Sydney
syllable;slabika
symbol;symbol
system;systém
take off;vzlétnout
take over;zabrat
tarantula;tarantule
tax;daň
teach;učit
teacher;učitel
technical;technický
teenage;dospívající
temporary;dočasný
terribly;strašně
test;zkouška
the sixties;šedesátá léta
theatre;divadlo
theatre play;divadelní hra
theft;krádež
themselves;se
thief;zloděj
thirties;třicátá léta
tiger;tygr
till;až do
tiring;únavný
toe;prst
tolerate;snášet
toothpaste;zubní pasta
topic;téma
touch;hmat
tour;okružní cesta
tourism;cestovní ruch
towel;ručník
toy;hračka
trade;obchod
trade union;odborová organizace
tradition;zvyklost
traditional;tradiční
traffic jam;dopravní zácpa
training;výcvik
translate;přeložit
traveller;turista
treetop;koruna stromu
trend;tendence
trial;soudní proces
trick;lest
tropical;tropický
trouble;nesnáze
try on;vyzkoušet si
turn off;zahnout
twin;dvojče
typewriter;psací stroj
unattractive;nepřitažlivý
unbelievable;neuvěřitelný
unconscious;v bezvědomí
uncountable;nespočetný
underground;podzemní
underwater;podvodní
unemployment;nezaměstnanost
unemployment benefit;příspěvek v nezaměstnanosti
unfortunately;naneštěstí
unlucky;nešťastný
unprofessional;neprofesionální
unreliable;nespolehlivý
unselfish;nesobecký
unsure;nejistý
unusual;nezvyklý
update;aktualizace
upset;rozmrzelý
usual;běžný
usually;běžně
vampire;upír
van;dodávka
vegetarian;vegetarián
version;verze
vet;zkr. veterinář
vicious circle;bludný
victim;oběť
video;video
videophone;televizní telefon
view;pohled
viewer;divák
visitor;host
voice;hlas
vowel;samohláska
wake;vzbudit se
war;válka
waste;plýtvání
watch;sledovat
wave;mávat
way;cesta
website;internetové stránky
weekly;týdně
weird;tajuplný
well-known;známý
west;západ
wheel;kolo
whereabouts;místo
wherever;kdekoliv
whisky;whisky
whole;celý
wide;rozlehlý
wire;drát
wives;manželky
women;ženy
wonder;zajímat se
wonderful;báječný
worker;pracovník
workman;dělník
workplace;pracoviště
worldwide;celosvětový
worm;červ
worried;ustaraný
worry;dělat si starosti
worrying;znepokojující
worse;horší
worst;nejhorší
worth;mající cenu
yet;ještě
yoga;jóga
yours;patřící tobě/vám
already;už
auxiliary;pomocný
book;kniha
catering;zajišťování stravy
celebrity;známá osobnost
chef;šéfkuchař
college;vysoká škola
common;společný
cooking;vaření
day-to-day;každodenní
detail;podrobnost
drum;buben
earn;vydělávat
face;tvář
final;poslední
grammar;mluvnice
group;skupina
ingredient;složka
instant;chvilka
lemon;citron
life;život
much;moc
naked;nahý
olive oil;olivový olej
past;minulost
prepare;chystat
prime minister;předseda
profile;profil
ready;připraven
recipe;recept
review;recenze
riding;jezdectví
school;škola
Sicily;Sicílie
subject;předmět
success;úspěch
summary;shrnutí
swap;vyměnit
teach;učit
unusual;nezvyklý
usually;běžně
watch;sledovat
wide;rozlehlý
wire;drát
advance;postup
catch;chytit
charity;dobročinnost
commute;dojíždět
commuter;dojíždějící
crazy;šílený
department store;obchodní dům
describe;popsat
distance;vzdálenost
documentary;písemný
editor;vydavatel
either;jeden nebo druhý
enormous;obrovský
even;dokonce
fascinating;úchvatný
few;málo
fireman;hasič
gap;mezera
instead;namísto
journalist;novinář
London;Londýn
nearly;málem
noun;podstatné jméno
object;věc
Paris;Paříž
preposition;předložka
series;série
stay;krást
stress;vypětí
super;senzační
syllable;slabika
traffic jam;dopravní zácpa
unbelievable;neuvěřitelný
way;cesta
west;západ
adverb;příslovce
aerobics;aerobik
art;umění
ball;míč
basketball;basketbal
Christmas;Vánoce
could;mohl/a
cycling;jízda na kole
event;událost
expression;výraz
frequency;frekvence
furthest;nejvzdálenější
gallery;galerie
generally;všeobecně
habit;zvyk
interviewer;reportér
jogging;běh pro zdraví
judo;džudo
least;nejmenší
line;čára
lunchtime;doba oběda
men;muži
normally;normálně
occasionally;příležitostně
order;pořadí
perhaps;možná
publish;uveřejnit
researcher;vědecký pracovník
result;výsledek
skateboarding;jízda na skateboardu
socialising;vést společenský život
somewhere;někde
sports;sportovní
theatre;divadlo
traditional;tradiční
vowel;samohláska
women;ženy
yoga;jóga
actually;ve skutečnosti
bell;zvon
bit;kousek
dating;chodit na schůzky
definitely;určitě
delicious;lahodný
disagree;nesouhlasit
everybody;každý
everyone;každý
hate;nenávidět
horror;děs
interested;zajímat se o co
negative;záporný
neither;ani
nervous;nervový
nightmare;zlý sen
pet;domácí mazlíček
positive;kladný
real;skutečný
response;odpověď
ring;prsten
speed;rychlost
suppose;předpokládat
vampire;upír
vegetarian;vegetarián
website;internetové stránky
aged;letitý
ambitious;ambiciózní
cent;cent
chicken;kuře
childhood;dětství
customer;zákazník
develop;rozvíjet se
etc.;a tak dále
extra;zvlášť
factory;závod
farm;farma
fries;hranolky
hungry;hladový
irregular;nepravidelný
learn;učit se
mile;míle
milk shake;mléčný koktejl
nearby;nedaleko
north;sever
official;oficiální
regular;pravidelný
serve;sloužit
service station;autoservis
soon;brzy
spokesman;mluvčí
state;stav
stop;přestat
the sixties;šedesátá léta
traveller;turista
action;činnost
anyway;stejně
ask someone out;ptát se koho na co
billion;bilion
break up with;rozejít se s
engaged;zaneprázdněný
food poisoning;otrava potravinami
forever;navždy
get engaged;zasnoubit se
get married;oženit se
go out with;vyjít si s
immediately;okamžitě
invite;pozvat
just;spravedlivý
lift;zvednout
pronounce;vyslovovat
queue;fronta
relative;příbuzný
romantic;romantický
round;okolo
shorter;kratší
stand;stát
straight;rovný
adviser;poradce
Arabia;Arábie
clever;chytrý
collection;sbírka
consequence;následek
contain;obsahovat
edition;vydání
Egypt;Egypt
exactly;přesně
fall in love with someone;zamilovat se
fully;plně
happily;šťastně
herself;se
Indian;indický
into;do
king;král
kingdom;království
lover;milenec
main;hlavní
original;původní
originally;původně
palace;palác
Persia;Persie
professional;odborný
queen;královna
situation;situace
smile;úsměv
storyteller;vypravěč
teacher;učitel
thief;zloděj
translate;přeložit
version;verze
well-known;známý
bow;příď
Cheers!;Na zdraví!
festival;svátek
illustrate;ilustrovat
imagine;představit si
keep;udržet si
kiss;polibek
member;člen
mine;můj
neighbour;soused
role-play;hraní role
touch;hmat
usual;běžný
worried;ustaraný
airline;letecký
basic;základní
borrow;půjčit si
colleague;spolupracovník
employment;zaměstnání
examiner;zkoušející
fact;fakt
farmer;zemědělec
flexible;ohebný
job security;záruka práce
knowledge;vědomí
licence;povolení
major;hlavní
meaning;význam
opportunity;šance
oral;ústní
pleased;spokojený
practical;užitečný
promotion;postup
qualified;kvalifikovaný
salary;pevný plat
street;ulice
test;zkouška
training;výcvik
vet;zkr. veterinář
whole;celý
application;přihláška
apply;aplikovat
believe;věřit
chance;šťastná náhoda
circle;kruh
CV;životopis
explain;vysvětlit
follow-up;zabývat se
frustrating;frustrující
job-hunting;hledání práce
local;místní
Mrs;zkr. paní
news;novinky
nothing;nic
product;výrobek
report;hlášení
sick pay;nemocenská
support;podporovat
technical;technický
temporary;dočasný
vicious circle;bludný
act;čin
advertisement;reklama
apologise;omluvit se
apparently;zřejmě
argue;diskutovat
argument;argument
artist;umělec
assist;asistovat
audience;obecenstvo
building;budova
chew;žvýkat
chewing gum;žvýkačka
circus;cirkus
collect;sbírat
column;sloup
consonant;souhláska
cream;smetana
decision;rozhodnutí
discussion;diskuze
environment;prostředí
examination;zkouška
examine;zkoušet
excite;rozrušit
excitement;vzrušení
field;pole
fire;oheň
guitarist;kytarista
head;hlava
hit;uhodit
horrible;děsivý
industry;průmysl
knife;nůž
link;článek
liquid;kapalina
manage;řídit
natural;přírodní
organise;zařídit
paint;barva
politician;politik
rubbish;smetí
strange;neobvyklý
strawberry;jahoda
stylist;kadeřník
unemployment;nezaměstnanost
unemployment benefit;příspěvek v nezaměstnanosti
unprofessional;neprofesionální
visitor;host
wonderful;báječný
worm;červ
worse;horší
afterwards;později
apology;omluva
cancel;odvolat
client;klient
lovely;milý
prefer;mít raději
alien;cizinec
amazing;úžasný
attack;napadnout
career;profese
conference;konference
dawn;svítání
dead;mrtvý
director;ředitel
entertainment;zábava
episode;epizoda
everything;všechno
evil;zlý
fan;fanoušek
force;síla
happier;spokojenější
happiness;štěstí
human;člověk
movie;film
opinion;názor
participle;příčestí
plot;spiknutí
robot;robot
romance;romantika
screen;plátno
silver;stříbrný
society;společnost
special effects;speciální efekty
star;hvězda
video;video
war;válka
worry;dělat si starosti
album;album
ballet;balet
blues;blues
brilliant;zářivý
education;výchova
folk;folkový
orchestra;orchestr
piano;piáno
rhythm;rytmus
seriously;vážně
singer;zpěvák
yours;patřící tobě/vám
addict;narkoman
average;průměr
bored;unuděný
cable TV;kabelová televize
cause;příčina
chat;povídat si
control;řídit
cross;kříž
current affairs;aktuální události
dot;tečka
equipment;výstroj
especially;zvláště
excited;rozrušený
feeling;cit
flatmate;spolubydlící
frightened;vystrašený
frightening;děsivý
glasses;brýle
hey;zvolání
Holland;Holandsko
may;moci
noise;kravál
player;hráč
power;síla
quarter-final;čtvrtfinále
reality;skutečnost
satellite;satelit
soap;mýdlo
tiring;únavný
turn off;zahnout
worrying;znepokojující
chairman;předseda
educate;vzdělávat
government;vláda
impossible;nemožný
lady;paní
little;malý
ministry;ministerstvo
national;státní
respond;reagovat
row;řada
trade union;odborová organizace
ability;schopnost
able;schopný
abroad;v zahraničí
build;postava
collocation;slovní spojení
complicated;složitý
domestic;domácí
easily;jednoduše
engineering;strojírenství
expert;odborník
feed;krmit
finally;konečně
firstly;prvé
guest;host
housework;práce v domácnosti
inside;vnitřek
invention;vynález
machine;stroj
possibly;snad
predict;předpovídat
prediction;předpověď
recognise;poznat
robotics;robotika
servant;služebník
take over;zabrat
toy;hračka
videophone;televizní telefon
wherever;kdekoliv
across;napříč
ambition;ctižádost
biology;biologie
camper;táborník
certain;jistý
desert;poušť
dive;skok op hlavě do vody
forward;čelní
history;historie
infinitive;infinitiv
photograph;fotografie
retire;odejít do penze
suntan;opálený
van;dodávka
voice;hlas
worst;nejhorší
African;Afričan
agency;agentura
amount;částka
bacteria;bakterie
circular;kruhový
differently;jinak
earth;Země
European;evropský
except;kromě
gene;gen
join;spojit
Mars;Mars
method;způsob
moon;měsíc
necessarily;nutně
organism;organismus
oxygen;kyslík
planet;planeta
pleasure;potěšení
private;soukromý
revolve;točit se
rocket;raketa
size;velikost
solar;sluneční
spaceman;astronaut
spaceship;kosmická loď
sunset;západ slunce
system;systém
topic;téma
tourism;cestovní ruch
view;pohled
disco;diskotéka
general;generál
intonation;intonace
karaoke;karaoke
library;knihovna
organisation;organizace
raise;zvednout
request;požadavek
adjective;přídavné jméno
aggressive;agresivní
bright;jasný
comparative;srovnávací
comparison;srovnání
completely;kompletně
considerate;ohleduplný
easy-going;mírný
elderly;postarší
enemy;nepřítel
helpful;nápomocný
honest;čestný
mature;dospělý
middle-aged;ve středních letech
moody;náladový
patient;pacient
polite;slušný
stressful;stresující
stubborn;tvrdohlavý
teenage;dospívající
side;strana
close friend;blízký přítel
daughter-in-law;snacha
draw;kreslit
employee;zaměstnanec
employer;zaměstnavatel
ex-;(předpona)
gorgeous;úžasný
great-uncle;prastrýc
guy;chlápek
haircut;ostřihání vlasů
nephew;synovec
niece;neteř
owner;vlastník
sister-in-law;švagrová
stepfather;stále
superlative;vynikající
twin;dvojče
wave;mávat
calm;tichý
criminal;zločinec
dishonest;nepoctivý
disorganised;dezorganizovaný
divorce;rozvod
extremely;nesmírně
full;plný
guide;vedoucí
hurry;spěchat
idiot;idiot
immature;nevyspělý
impatient;netrpělivý
impolite;nezdvořilý
inconsiderate;bezohledný
listener;posluchač
prefix;předpona
serious;vážný
steal;nevlastní otec
successful;úspěšný
unattractive;nepřitažlivý
unreliable;nespolehlivý
unselfish;nesobecký
unsure;nejistý
update;aktualizace
wonder;zajímat se
afraid;polekaný
beat;úder
contact;kontakt
formal;formální
golf;golf
limited;omezený
workplace;pracoviště
anywhere;někde
beauty;krása
beauty spot;znaménko krásy
coast;pobřeží
definite;jasný
destination;cíl cesty
New Zealand;Nový Zéland
overnight;přes noc
pool;louže
sunshine;sluneční záře
tour;okružní cesta
viewer;divák
package;balíček
carry;nést
countable;počitatelný
heavy;těžký
hers;její
large;velký
make-up;vymyslet
ours;naše
packet;krabička
perfume;vůně
possessive;majetnický
quantifier;kvantifikátor
quantity;množství
razor;žiletka
roll;role
sandal;sandál
shampoo;šampon
shaving foam;pěna na holení
such;takový
sun cream;krém na opalování
sunglasses;sluneční brýle
swimming costume;dámské plavky
swimming trunks;pánské plavky
swimsuit;plavky
toothpaste;zubní pasta
towel;ručník
uncountable;nespočetný
above;nahoře
adventure;dobrodružství
camping;táboření
certificate;osvědčení
classmate;spolužák
comfortable;komfortní
deliver;odvézt
description;popis
diver;potápěč
during;během
facility;dovednost
father-in-law;tchán
ground;zem
incredible;neuvěřitelný
instructor;učitel
